AT1G01010	-6.788935	-10.278421	-8.894369	-7.769278	-6.621861	-5.126102	
AT1G01090	4.277085	2.497045	1.493690	1.494381	-0.420017	-2.107120	
AT1G01190	-12.073510	-11.675713	-10.206493	-8.070187	-6.069704	-6.420799	
AT1G01220	-4.920156	-6.378227	-7.099577	-6.027477	-6.828902	-5.660723	
AT1G01250	-4.613106	-2.091902	-1.379591	-0.640080	-0.315526	-1.212209	
AT1G01260	-1.771232	-2.573036	-2.309564	-1.346476	-1.946902	-1.763430	
AT1G01305	-10.953258	-9.213976	-6.308020	-4.400843	-3.784964	-5.519165	
AT1G01490	-0.035199	-0.016172	0.301754	0.995546	0.116990	-1.356118	
AT1G01540	-1.566665	-2.534743	-2.646603	-2.360004	-3.092986	-2.317030	
AT1G01580	-11.555007	-10.193540	-10.248397	-8.243490	-2.480950	-0.593604	
AT1G01620	2.209848	-0.268744	-2.221571	-3.033592	-4.474359	-6.563824	
AT1G01720	-2.816028	-2.739081	-1.748784	-0.279099	1.790120	3.829482	
AT1G02065	0.000000	-12.588936	0.000000	0.000000	0.000000	0.000000	
AT1G02070	-12.338965	-11.053137	-9.025367	-8.005282	-7.911725	-9.743379	
AT1G02090	0.472936	-1.748174	-1.920894	-1.187194	-0.659082	1.083819	
AT1G02170	-3.706356	-4.959656	-5.521382	-5.541821	-6.078414	-5.325467	
AT1G02190	0.000000	0.000000	-11.080745	0.000000	0.000000	0.000000	
AT1G02340	-3.214996	-8.798948	-10.033899	0.000000	0.000000	0.000000	
AT1G02390	-1.726474	-3.598414	-4.901104	-6.132281	-10.896204	0.000000	
AT1G02630	-12.989478	0.000000	0.000000	0.000000	0.000000	0.000000	
AT1G02650	-8.443530	-10.636699	-12.287525	0.000000	-10.261736	-7.499079	
AT1G02670	-5.316447	-7.154935	-8.014497	-8.615196	-11.123375	-5.534494	
AT1G02770	-7.102763	-7.086279	-6.850327	-5.817430	-5.148456	-3.786804	
AT1G02850	-3.107172	-0.751439	1.353544	3.106292	3.035543	3.593765	
AT1G02860	-1.022113	-3.547913	-4.314951	-4.335030	-4.654866	-2.762665	
AT1G02890	-1.378562	-1.957066	-1.944934	-0.886131	-0.724869	1.128569	
AT1G03106	-1.304190	-0.121251	0.321600	1.298685	1.433825	3.448991	
AT1G03457	-0.452472	-1.663434	-2.293215	-2.412558	-5.141920	-6.959922	
AT1G03510	-5.914353	-7.776538	-7.981755	-6.896853	-6.517942	-4.569264	
AT1G03730	-4.890549	-5.877998	-5.044809	-4.632907	-5.493467	-4.178343	
AT1G03770	-3.056221	-3.998274	-3.638426	-2.418675	-1.399827	1.016848	
AT1G03780	-0.897469	-5.309101	-7.040924	-7.019584	-6.260448	-4.094221	
AT1G03880	3.229260	7.654750	7.989068	8.375545	8.492997	8.080640	
AT1G03890	-10.159980	-3.063992	-2.394903	-1.352538	-1.564151	-2.440234	
AT1G03905	-3.789676	-4.133528	-3.901111	-2.795466	-1.501922	-0.399626	
AT1G04180	-7.435337	-8.851833	-11.095947	0.000000	0.000000	0.000000	
AT1G04250	-2.422545	-3.499899	-4.576473	-6.115099	-12.576348	0.000000	
AT1G04550	0.011163	-1.700263	-1.702924	-1.193048	-2.341477	-1.950466	
AT1G04570	-4.737633	-5.297248	-4.805481	-4.634362	-5.296252	-4.946382	
AT1G04600	-6.427300	-8.744036	-8.890744	-8.362778	-10.391139	-8.403789	
AT1G04620	-0.433651	-2.105144	-2.922611	-2.124085	-2.266574	-1.965974	
AT1G04650	-4.111428	-6.621856	-7.379674	-6.848695	-6.500916	-5.887884	
AT1G04660	4.722718	2.699096	2.626061	2.953114	2.233957	0.107636	
AT1G04680	-1.356225	-2.034616	-4.471464	-6.051173	-9.902343	0.000000	
AT1G04690	1.105157	-0.280224	-1.305392	-1.083536	-1.516130	-0.827854	
AT1G04800	-8.337788	-8.844169	-9.217442	-7.759155	-6.609894	-4.146983	
AT1G04820	2.592475	0.298287	-1.102779	-1.990614	-6.050788	-7.104196	
AT1G04840	-7.751467	-9.404009	-10.225283	-8.277894	-8.185728	-6.082750	
AT1G04920	-5.887106	-3.140910	-3.598713	-3.213160	-3.328216	-1.513190	
AT1G04950	-1.806551	-2.776657	-3.234829	-2.695937	-3.362016	-1.637726	
